"cut_time","1st_shot_frame"
6.60,165
48.16,1204
53.96,1349
55.68,1392
57.04,1426
58.44,1461
66.56,1664
68.88,1722
72.68,1817
74.48,1862
75.28,1882
76.84,1921
79.00,1975
80.48,2012
81.44,2036
87.44,2186
89.12,2228
90.28,2257
91.12,2278
92.28,2307
94.04,2351
94.72,2368
96.16,2404
96.96,2424
98.56,2464
100.00,2500
103.12,2578
110.84,2771
114.76,2869
131.84,3296
149.60,3740
168.32,4208
170.12,4253
171.20,4280
177.32,4433
179.04,4476
185.48,4637
196.28,4907
200.60,5015
206.08,5152
208.96,5224
211.12,5278
214.03,5350
218.76,5469
244.08,6102
253.24,6331
259.44,6486
264.08,6602
265.76,6644
269.08,6727
271.76,6794
276.88,6922
284.08,7102
288.92,7223
296.04,7401
302.08,7552
309.36,7734
317.76,7944
325.96,8149
327.80,8195
352.88,8822
358.31,8957
364.56,9114
389.64,9741
400.96,10024
415.68,10392
429.28,10732
447.64,11191
461.56,11539
481.76,12044
513.48,12837
528.52,13213
543.76,13594
552.44,13811
559.08,13977
613.40,15335
619.32,15483
622.80,15570
639.64,15991
655.60,16390
664.36,16609
681.84,17046
685.40,17135
690.24,17256
693.60,17340
695.56,17389
697.24,17431
702.68,17567
704.60,17615
711.40,17785
715.16,17879
716.52,17913
717.44,17936
718.44,17961
722.48,18062
735.96,18399
746.36,18659
748.08,18702
757.16,18929
785.52,19638
791.12,19778
798.40,19960
801.44,20036
804.44,20111
805.84,20146
826.24,20656
830.92,20773
833.28,20832
837.04,20926
842.80,21070
846.44,21161
865.72,21643
875.64,21891
878.12,21953
888.60,22215
892.04,22301
895.24,22381
897.12,22428
899.68,22492
903.80,22595
907.68,22692
913.76,22844
923.68,23092
930.88,23272
932.04,23301
934.00,23350
935.88,23397
937.52,23438
939.92,23498
942.08,23552
944.00,23600
945.92,23648
947.08,23677
951.72,23793
955.40,23885
