"cut_time","1st_shot_frame"
0,0
168.08,4202
272.2,6805
286.32,7158
300.56,7514
311.96,7799
318.28,7957
343.04,8576
353.08,8827
358.08,8952
360.04,9001
361.84,9046
363.04,9076
385.64,9641
402.8,10070
425.6,10640
434.48,10862
438.56,10964
443.44,11086
447.76,11194
462.44,11561
466.84,11671
471.36,11784
475.52,11888
492.68,12317
496.08,12402
500.16,12504
507.68,12692
512.32,12808
516.88,12922
522.24,13056
526.76,13169
555.72,13893
586.48,14662
594.84,14871
612.08,15302
630.4,15760
632.48,15812
633.64,15841
636.36,15909
656.88,16422
659.44,16486
669.56,16739
675,16875
679.8,16995
681.56,17039
686.2,17155
692.52,17313
702.56,17564
712.68,17817
721.36,18034
727.44,18186
730.08,18252
732.88,18322
738.44,18461
740.68,18517
743.08,18577
745.16,18629
752.24,18806
755.24,18881
757.88,18947
759.32,18983
760.64,19016
761.64,19041
770.24,19256
771.28,19282
778.52,19463
791.04,19776
799.56,19989
801.76,20044
806.28,20157
808,20200
813.44,20336
829.32,20733
833.48,20837
836.96,20924
839.88,20997
847.32,21183
852.12,21303
857.2,21430
861.16,21529
865.2,21630
872.32,21808
886.08,22152
891.16,22279
899.8,22495
901.8,22545
902.96,22574
904.88,22622
906,22650
907.96,22699
909.04,22726
910.48,22762
911.28,22782
912.72,22818
914.8,22870
916.4,22910
919.96,22999
924.88,23122
928.16,23204
931.16,23279
932.56,23314
933.92,23348
935.56,23389
937.32,23433
943.32,23583
945.64,23641
948.16,23704
951.08,23777
953.84,23846
959.6,23990
961.44,24036
963.24,24081
964.88,24122
968.72,24218
972.56,24314
975.08,24377
980,24500
983.28,24582
984.88,24622
991.24,24781
1000.6,25015
1008.96,25224
1015.48,25387
1018.72,25468
1026.76,25669
1040.28,26007
1061.2,26530
1072.92,26823
1074.96,26874
1078.64,26966
1083.32,27083
1086.84,27171
1094.68,27367
1110.28,27757
1123.88,28097
1135.8,28395
1144.4,28610
1149.36,28734
1150.2,28755
1153.04,28826
1154.36,28859
1155.08,28877
1157.36,28934
1160.64,29016
1162,29050
1163.16,29079
1165.04,29126
1166.36,29159
